postcode,latitude,longitude,admin_district,admin_county,country
DA2 7HD,51.413531,0.167703,Dartford,Kent,England
BN1 6HR,50.83971,-0.143071,Brighton and Hove,,England
DA11 0EP,51.440881,0.357237,Gravesham,Kent,England
DA3 7BQ,51.387555,0.296727,Sevenoaks,Kent,England
DA3 8LY,51.382668,0.292358,Sevenoaks,Kent,England
DA3 8QJ,51.361756,0.311209,Sevenoaks,Kent,England
DA11 7NX,51.415622,0.36776,Gravesham,Kent,England
TN15 6XY,51.336881,0.251148,Sevenoaks,Kent,England
TN25 4AU,51.218954,0.877967,Ashford,Kent,England
DA12 2BD,51.444398,0.373695,Gravesham,Kent,England
DA1 5JY,51.455992,0.233081,Dartford,Kent,England
ME19 5BQ,51.305446,0.369385,Tonbridge and Malling,Kent,England
PO5 3HY,50.788096,-1.087496,Portsmouth,,England
E1W 2BQ,51.508986,-0.064817,Tower Hamlets,,England
DA4 0AA,51.369484,0.213754,Sevenoaks,Kent,England
ME4 3NU,51.405477,0.537429,Medway,,England
DA11 9NT,51.439442,0.353638,Gravesham,Kent,England
DA11 0ES,51.43851,0.358856,Gravesham,Kent,England
DA3 7LX,51.393975,0.321416,Dartford,Kent,England
TN15 7PB,51.331812,0.294111,Tonbridge and Malling,Kent,England
CT21 4PE,51.077376,0.988911,Folkestone and Hythe,Kent,England
DA4 9DZ,51.406062,0.239677,Dartford,Kent,England
TW9 2AS,51.47075,-0.293043,Richmond upon Thames,,England
DA3 7JP,51.398339,0.32132,Dartford,Kent,England
CT3 1XG,51.261478,1.155769,Canterbury,Kent,England
ME19 5EN,51.323228,0.364862,Tonbridge and Malling,Kent,England
TN14 7QG,51.317298,0.080833,Bromley,,England
TN15 7LU,51.329583,0.327319,Tonbridge and Malling,Kent,England
DA12 5BJ,51.423682,0.371183,Gravesham,Kent,England
DA1 2PB,51.442868,0.204753,Dartford,Kent,England
TN22 3BA,51.004121,0.089492,Wealden,East Sussex,England
DA12 3DA,51.391989,0.397732,Gravesham,Kent,England
RG4 8DQ,51.462878,-0.961718,Reading,,England
TW12 2TH,51.417389,-0.363,Richmond upon Thames,,England
DA9 9EW,51.448057,0.288204,Dartford,Kent,England
DA13 9NQ,51.413054,0.316673,Dartford,Kent,England
DA12 4HS,51.425695,0.393872,Gravesham,Kent,England
DA12 3EN,51.411129,0.431709,Gravesham,Kent,England
BR8 7PJ,51.406937,0.195373,Sevenoaks,Kent,England
TN15 0RP,51.264042,0.21122,Sevenoaks,Kent,England
DA11 7NT,51.416146,0.364033,Gravesham,Kent,England
DA13 9PT,51.415574,0.335167,Gravesham,Kent,England
DA3 8DB,51.382876,0.306941,Sevenoaks,Kent,England
TN15 9HB,51.285689,0.284698,Tonbridge and Malling,Kent,England
TN4 0TH,51.169349,0.24946,Tunbridge Wells,Kent,England
NW7 3HT,51.625116,-0.25524,Barnet,,England
DA13 0EB,51.37924,0.363021,Gravesham,Kent,England
DA1 3AE,51.448678,0.206184,Dartford,Kent,England
DA11 8NE,51.423834,0.341256,Gravesham,Kent,England
TN2 5EH,51.123545,0.266255,Tunbridge Wells,Kent,England
ME19 4SU,51.273855,0.403604,Tonbridge and Malling,Kent,England
